DIA;TIEMPO_DESPACHO;TIEMPO_ATENCION;TIEMPO_DERIVACION;TIEMPO_ATRASO;TIEMPO_PROCESO
1;84.41119639963094;12.8323914845158;26.343182144355914;7.8037899392630266;147.23670419962113
2;73.30678111768766;13.63954342117165;26.060301700426642;6.8412427737898724;129.47580642946733
3;77.68180513268143;13.5447919227258;25.876647818723598;3.527560651258284;130.06362714913524
4;76.159789965824;13.5447919227258;25.749217839873097;2.7306560518441074;127.79702626057613
5;77.55253304057929;13.8458663000056;25.273311572339992;2.665474647775909;126.67407826760831
6;71.74219237570719;13.7829548434088;24.73187983465749;2.665474647775909;118.27004160549834
7;70.77364846376176;14.00816241350335;24.64045816561105;2.324179472867854;117.92289548104415
8;69.67603389352296;13.9953262258975;24.10950066984229;2.466856592364138;116.17912830476341
9;69.63236751453994;13.99267930700545;24.10795685486344;2.466856592364138;116.16100909320664
10;69.5887011355569;13.988934106477;24.64045816561105;2.324179472867854;115.8676001284625
11;69.5887011355569;13.78511098955195;24.691208125239555;2.0314601676784605;115.93326533791182
12;68.00330626864204;13.7829548434088;24.276327354382286;2.0227359688092292;113.9901250856435
13;66.47748980538739;13.782090276183851;24.260964453988763;2.0227359688092292;112.07934438082071
14;66.89055212096078;13.782090276183851;24.08113910227215;2.0227359688092292;112.08384752513899
15;63.61795790880333;13.7241322196152;23.964465771394373;2.0227359688092292;108.69235159319703
16;65.04454761107306;13.5855184171482;23.964465771394373;1.7582801436356021;109.26394127106039
17;63.51653337772497;13.5858482202655;24.047795409310453;1.7582801436356021;108.41543865708246
18;63.51653337772497;13.571332552204;23.980462117143727;1.7582801436356021;108.01386636635317
19;63.48828002055464;13.472698615489001;23.980462117143727;1.712965926681136;107.23220263192829
20;63.51653337772497;13.4668963346717;23.948469425645015;1.4386922490266443;107.23220263192829
21;63.958711130727664;13.4790525079926;23.964465771394373;1.3035010614730709;108.2386650404836
22;64.85888813905615;13.368348317031401;23.980462117143727;1.2720520915506768;108.4509346219739
23;63.567245643264144;13.37690445745555;24.10362630256713;1.2720520915506768;108.3779940908535
24;64.93955090226856;13.3696650421235;23.964465771394373;1.225193262122275;108.47169581781878
25;65.10399283562268;13.37690445745555;23.964465771394373;1.1810299572789518;108.47169581781878
26;66.34986623724939;13.3531024744104;23.927859304958137;1.496407858627208;109.33195505297365
27;66.12725371743099;13.3639675585842;23.927859304958137;1.496407858627208;109.26394127106039
28;65.81345739375055;13.4189648492286;24.106413039884586;1.496407858627208;108.87601382943781
29;66.49371130930268;13.472698615489001;24.08113910227215;1.6378342874813825;109.62994760544588
30;65.92259519890794;13.47779992641785;24.100839565249675;1.6378342874813825;109.32513927356842
